fold,type,c,eps_norm,condition,ols_c_sum,rob_c_sum,ols_c_sum_g,rob_c_sum_g
0,universal_ols,0.7931054830551147,0.6304940581321716,,,,,
0,universal_robust,0.7271316178633451,0.7296027106597024,,,,,
0,specific_ols_global,,0.7007114887237549,,,,,
0,specific_rubust_global,,0.7618491860208415,,,,,
0,,,,KLF1+CEBPA,1.0569062232971191,1.0327200320865915,0.998741865158081,0.9696601028336717
0,,,,PTPN12+OSR2,1.0055830478668213,0.8477354913206556,0.935057520866394,0.6706729904329707
0,,,,RHOXF2+ZBTB25,1.7646269798278809,1.6864649043643118,1.7509815692901611,1.6618622227368007
0,,,,RHOXF2+SET,1.3701984882354736,1.34337978973964,1.3480989933013916,1.2937883636883982
0,,,,FOXA1+FOXL2,1.7352099418640137,1.6893386615094232,1.6628659963607788,1.555795264814933
0,,,,CEBPB+MAPK1,1.2860801219940186,1.247753256989287,1.2569684982299805,1.208060789375518
0,,,,LYL1+IER5L,1.7860499620437622,1.5912818453572037,1.7737594842910767,1.5661798718193172
0,,,,SNAI1+DLX2,2.054874897003174,2.1083425881168525,2.0393002033233643,2.0686844660130346
0,,,,ZNF318+FOXL2,1.761371374130249,1.6455344326409727,1.7003066539764404,1.5612409438535955
0,,,,TGFBR2+C19orf26,2.0678462982177734,1.704046438180691,2.000919818878174,1.6404789576379128
0,,,,CBL+UBASH3B,2.5468087196350098,2.292977300197278,2.5294089317321777,2.245637461797867
0,,,,PTPN12+PTPN9,1.879957914352417,1.703790748606158,1.861642837524414,1.6692296043653065
0,,,,UBASH3B+OSR2,0.5978129506111145,0.3839337349492712,0.506740391254425,0.19517785558978162
0,,,,PTPN12+ZBTB25,2.142770290374756,1.9655040478013281,2.131270408630371,1.9908008880629606
0,,,,FEV+CBFA2T3,3.06020450592041,2.9276101360131452,3.0002059936523438,2.849328648891272
0,,,,FOXA3+FOXA1,1.7821656465530396,1.7169938795557913,1.7176282405853271,1.6408805786730216
0,,,,KLF1+CLDN6,1.6473393440246582,1.5854835098872475,1.5954976081848145,1.5271010250771837
0,,,,ETS2+CEBPE,1.393151879310608,1.3241282892218964,1.3603096008300781,1.2969611489010888
0,,,,IGDCC3+MAPK1,1.0250927209854126,0.9436427539211067,0.9537731409072876,0.8512509025814092
0,,,,FOXA1+HOXB9,2.2063941955566406,2.1423367993885676,2.115539073944092,2.0018516447235926
0,,,,PTPN12+SNAI1,1.4444769620895386,1.3784117699388592,1.396500587463379,1.3047241293315555
0,,,,ZC3HAV1+HOXC13,1.316251516342163,1.1817474659797358,1.3149019479751587,1.177536224070258
0,,,,CEBPE+PTPN12,0.9609314203262329,0.8803389712024335,0.9325448274612427,0.8683927203334203
0,,,,CBL+PTPN9,1.915088415145874,1.7470891692765924,1.8927955627441406,1.744714012917754
0,,,,SAMD1+TGFBR2,1.7378771305084229,1.493386487394011,1.7188034057617188,1.4653287159636534
0,,,,FOSB+CEBPB,1.7754663228988647,1.726533010296495,1.7808215618133545,1.6912174570491931
0,,,,FOSB+CEBPE,1.534692406654358,1.548537468009749,1.540320634841919,1.550842241878413
0,,,,BCL2L11+BAK1,0.47293081879615784,0.2895661134030061,0.4265514314174652,0.2805587175082544
0,,,,CNN1+UBASH3A,2.263763666152954,1.9790961378935292,2.2596628665924072,1.9938978508190273
0,,,,SET+KLF1,1.5581003427505493,1.460356204128374,1.536967396736145,1.4188859185014775
0,,,,BPGM+SAMD1,1.4761977195739746,1.4227987402193198,1.420133113861084,1.325586650092092
0,,,,AHR+KLF1,1.3930764198303223,1.3364166396876282,1.2988073825836182,1.211647967509131
0,,,,SAMD1+ZBTB1,1.7537856101989746,1.7183909275024392,1.6791630983352661,1.5934146535615585
0,,,,MAP2K3+IKZF3,1.5039520263671875,1.181885402204795,1.3924006223678589,1.024887834053444
0,,,,MAPK1+PRTG,1.066611409187317,1.0064143497327043,0.9869875907897949,0.8983438269984053
0,,,,CDKN1B+CDKN1A,1.2780821323394775,1.2290973908291636,1.2310105562210083,1.1501005401240216
0,,,,SGK1+TBX2,1.626444697380066,1.5647836258904788,1.58506178855896,1.5087312725697162
0,,,,FOXA1+FOXF1,2.289586305618286,2.1318973594774553,2.2108583450317383,2.0223541080900413
0,,,,POU3F2+CBFA2T3,2.1125190258026123,2.022542150564408,2.0550570487976074,1.9319625118187682
0,,,,ETS2+PRTG,1.1615469455718994,1.0646185200444347,1.0624847412109375,0.9327453025165554
0,,,,DUSP9+MAPK1,0.7336531281471252,0.6330724855505032,0.6620148420333862,0.54486831227113
0,,,,TGFBR2+IGDCC3,1.2585809230804443,1.147010668660683,1.281954288482666,1.179904617771149
0,,,,FOSB+OSR2,1.927443504333496,1.8703050142660895,1.895425796508789,1.7993120368645208
0,,,,IGDCC3+PRTG,1.1264736652374268,1.0985260197063658,1.0846376419067383,1.0322055600965077
0,,,,KLF1+BAK1,1.3149484395980835,1.0533846301950087,1.2849112749099731,1.0831535995677941
0,,,,PLK4+STIL,1.6868096590042114,1.572043478410408,1.5570672750473022,1.4269754658273202
0,,,,POU3F2+FOXL2,1.976672887802124,1.879604321767835,1.9110275506973267,1.801780434511619
0,,,,C3orf72+FOXL2,1.1440848112106323,1.0844135392771599,1.1111401319503784,1.0033457662468195
0,,,,FOXL2+MEIS1,2.083083391189575,1.9049168719263077,1.9662916660308838,1.8185175851635016
0,,,,ZC3HAV1+CEBPA,1.3662028312683105,1.3059577462488945,1.4063382148742676,1.339788978687774
0,,,,DUSP9+KLF1,1.8316717147827148,1.6977000873620727,1.7851998805999756,1.7080417202771356
0,,,,FOXA3+FOXL2,2.088798761367798,2.0681664996966194,2.0251927375793457,1.9690673538866332
0,,,,MAP2K3+MAP2K6,1.1519417762756348,1.1160987604705828,1.0930266380310059,1.0826603860616033
0,,,,KLF1+COL2A1,1.4482989311218262,1.3195742722102315,1.3835804462432861,1.263089311950727
0,,,,ZBTB10+ELMSAN1,1.7408722639083862,1.39791143198961,1.6003479957580566,1.3071378283446622
0,,,,ETS2+IKZF3,1.3675918579101562,1.3320688721192977,1.2802793979644775,1.220329930011731
0,,,,DUSP9+ETS2,1.0634959936141968,0.9959497631498797,0.9749850630760193,0.8779638248576574
0,,,,DUSP9+SNAI1,2.5882949829101562,2.5537835847655788,2.52166748046875,2.4767980499999545
0,,,,ZBTB10+SNAI1,1.9144699573516846,1.8771958262914574,1.8851332664489746,1.828261590396913
0,,,,KIF18B+KIF2C,0.8551843166351318,0.6855875663868738,0.8379092216491699,0.5852368353295991
0,,,,JUN+CEBPB,1.6682367324829102,1.637265996459441,1.6268947124481201,1.5594316660635088
0,,,,UBASH3B+ZBTB25,2.2680630683898926,2.0585087780956646,2.2510809898376465,2.001160979515783
0,,,,CEBPE+RUNX1T1,1.0343551635742188,0.8445520347724811,1.0789523124694824,0.7523777434351546
0,,,,FEV+MAP7D1,2.1706950664520264,1.9942281426122017,2.0221972465515137,1.8883273051462814
0,,,,CEBPB+PTPN12,1.1685909032821655,1.0751910766905086,1.136335015296936,0.9999097925421123
1,universal_ols,0.8122851848602295,0.8568716049194336,,,,,
1,universal_robust,0.7258387508798623,1.0152433474088653,,,,,
1,specific_ols_global,,0.6800376772880554,,,,,
1,specific_rubust_global,,0.728647352316761,,,,,
1,,,,UBASH3B+PTPN12,2.0244600772857666,1.8089650829077315,2.023010730743408,1.8055619909456615
1,,,,FOSB+PTPN12,1.2583448886871338,1.0972476989606426,1.2353748083114624,1.0128672530044929
1,,,,IGDCC3+ZBTB25,1.9926719665527344,1.88419516505849,1.9797930717468262,1.8217205928595737
1,,,,CDKN1C+CDKN1A,1.2331676483154297,1.2247133550504565,1.2051770687103271,1.1935702134090644
1,,,,FOXA3+HOXB9,2.212311267852783,2.117439616784151,2.142240047454834,2.033479997925026
1,,,,FOXL2+HOXB9,2.02175235748291,2.019651135481471,1.9638395309448242,1.9273871526319035
1,,,,CEBPE+SPI1,1.6631803512573242,1.6093514852652064,1.6362138986587524,1.5678418661312357
1,,,,PRDM1+CBFA2T3,1.9312267303466797,1.9293065186316078,1.8880910873413086,1.7980203379276087
1,,,,TMSB4X+BAK1,1.3466130495071411,0.8959232208718659,1.3180177211761475,0.8668396574977427
1,,,,UBASH3B+PTPN9,2.3190886974334717,2.046595620806289,2.312976837158203,2.068817744861981
1,,,,MAP2K3+SLC38A2,1.5865890979766846,1.461352315231366,1.5368794202804565,1.4387503542943183
1,,,,ZBTB10+DLX2,1.9409542083740234,1.8726675013748704,1.9520784616470337,1.918663330879666
1,,,,LHX1+ELMSAN1,1.8234564065933228,1.5927649957931376,1.7513092756271362,1.530420925847559
1,,,,FOSB+UBASH3B,1.0946000814437866,0.9763872000171538,1.0736522674560547,0.921591511355953
1,,,,FOXA3+FOXF1,1.8724994659423828,1.7425582529413148,1.8352327346801758,1.6581048932409768
1,,,,PTPN12+UBASH3A,2.2686333656311035,2.041197867322356,2.2849326133728027,2.03734728876383
1,,,,ETS2+IGDCC3,1.1563678979873657,1.071001751780534,1.0756523609161377,0.9541328102540502
1,,,,SAMD1+PTPN12,1.6882450580596924,1.5373721687307964,1.6672186851501465,1.4806647975277678
1,,,,MAP2K3+ELMSAN1,1.8688596487045288,1.6948306144534449,1.846623420715332,1.7913076153390068
1,,,,TGFBR2+ETS2,1.0713156461715698,0.9135419771560143,0.9813224077224731,0.834212198409821
1,,,,DUSP9+PRTG,1.5025148391723633,1.4938730567565446,1.4570026397705078,1.4195240745512483
1,,,,ETS2+MAP7D1,2.249960422515869,2.095631009782211,2.1120455265045166,1.9969714350059253
1,,,,FOSB+IKZF3,1.2139577865600586,1.1436656437252903,1.1554869413375854,1.080799931017976
1,,,,SAMD1+UBASH3B,2.1102371215820312,2.005301718294218,2.1226589679718018,1.9748389732690095
1,,,,UBASH3B+CNN1,2.438243865966797,2.2563361501440538,2.4413836002349854,2.2182468094700623
1,,,,MAP2K6+ELMSAN1,1.62849760055542,1.4996547001755949,1.559525966644287,1.4779104917447117
1,,,,FOXF1+HOXB9,2.242156982421875,2.149799856617258,2.188460350036621,2.0332558416277164
1,,,,FOXF1+FOXL2,1.8759483098983765,1.8839828185174134,1.8359854221343994,1.794115803403859
1,,,,CBL+UBASH3A,1.802516222000122,1.7202727467374763,1.819732666015625,1.7027768502272065
1,,,,AHR+FEV,2.255793809890747,2.1106713650518487,2.164731502532959,2.017227384781053
1,,,,IRF1+SET,1.6587560176849365,1.5813746697355155,1.6514174938201904,1.5543476181598668
1,,,,SGK1+TBX3,1.6202266216278076,1.4914070810968005,1.5866647958755493,1.4368771722228502
1,,,,MAPK1+TGFBR2,1.2011563777923584,1.0786592984419894,1.131033182144165,1.0198112462466773
1,,,,FEV+ISL2,2.4867851734161377,2.1385091296300955,2.3890950679779053,2.08378085680184
1,,,,CNN1+MAPK1,1.15560781955719,1.1434974313910153,1.1107784509658813,1.0540253542909737
1,,,,TGFBR2+PRTG,1.1251819133758545,1.0459723499150417,1.1738173961639404,1.1109632072947493
1,,,,ZC3HAV1+CEBPE,1.1066598892211914,0.9626444539220851,1.1553505659103394,1.0204541361012223
1,,,,UBASH3B+UBASH3A,1.5545942783355713,1.4034957109693171,1.570900559425354,1.398019319031921
1,,,,MAPK1+IKZF3,1.262498140335083,1.2254670658165334,1.196549654006958,1.1575838126006417
1,,,,CEBPE+CNN1,1.0303871631622314,1.0002830936762448,1.0030392408370972,0.9176064532624169
1,,,,CBL+CNN1,2.1224148273468018,1.9621167339158716,2.117382049560547,1.9733315722442368
1,,,,LYL1+CEBPB,1.3011529445648193,1.0622753887681702,1.295832872390747,1.0010809799858535
1,,,,CBL+TGFBR2,1.9631352424621582,1.6034354883051607,1.9573423862457275,1.6573411378644805
1,,,,ETS2+MAPK1,1.6180477142333984,1.651112998587069,1.5864219665527344,1.6054190370942494
1,,,,SET+CEBPE,0.8813657760620117,0.8187955754901505,0.8726909160614014,0.7682882843622179
1,,,,BPGM+ZBTB1,1.4004337787628174,1.2789132920798538,1.3474104404449463,1.1922806277856237
1,,,,CEBPE+KLF1,0.9784836769104004,0.8784151618081572,0.9149321913719177,0.8161647777759153
1,,,,MAP2K6+SPI1,0.7980051636695862,0.6585195955544041,0.6361435055732727,0.5972553654048862
1,,,,SNAI1+UBASH3B,1.5578258037567139,1.455433315733007,1.5150277614593506,1.3897804447560427
1,,,,ZBTB10+PTPN12,1.4709491729736328,1.4138940080232918,1.4442024230957031,1.409332874890128
1,,,,DUSP9+IGDCC3,1.5267977714538574,1.4961282500547042,1.4854092597961426,1.4118176661989126
1,,,,KLF1+MAP2K6,1.3934885263442993,1.3126906163803942,1.2993242740631104,1.2880130335914675
1,,,,CEBPE+CEBPA,1.020397424697876,0.9892362051185031,1.025710105895996,1.0050633431686076
1,,,,CEBPE+CEBPB,1.3797693252563477,1.359384956524791,1.3574674129486084,1.3195192888691962
1,,,,CDKN1C+CDKN1B,1.36581289768219,1.357730844866048,1.3288612365722656,1.2781345220944371
1,,,,TBX3+TBX2,1.493208646774292,1.3449320628429366,1.4839195013046265,1.3126561831415302
1,,,,CBL+PTPN12,1.9323251247406006,1.728105864744229,1.927904486656189,1.69262251773934
1,,,,JUN+CEBPA,1.4514565467834473,1.4062322514196612,1.4200342893600464,1.3809762342367629
1,,,,SGK1+S1PR2,1.7807519435882568,1.7529339748040007,1.7210659980773926,1.6920338868949978
1,,,,KLF1+FOXA1,1.8163025379180908,1.6696831815730915,1.710282564163208,1.5744783070374095
1,,,,KLF1+TGFBR2,1.499094009399414,1.270119572304326,1.4904967546463013,1.286050473816502
1,,,,CEBPB+CEBPA,1.1919087171554565,1.2163715218612627,1.1834193468093872,1.2099181011173283
1,,,,MAP2K6+IKZF3,1.247717022895813,1.02769981121516,1.041896104812622,0.8205746173613668
1,,,,ETS2+CNN1,1.3210374116897583,1.1959584965327918,1.258058786392212,1.0906381375803984
1,,,,BCL2L11+TGFBR2,1.2539068460464478,0.6814524207264263,1.2427877187728882,0.8116060307288642
1,,,,CEBPB+OSR2,1.6013834476470947,1.5749785115696953,1.5662673711776733,1.5174561386042762
